Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,subject,run,day,group,good
V,5.0,7.890275107314488e-13,0.023079256746348108,8.460382941248305e-08,-3.2349175836678383,-2.7368641541207563e-07,18,27,hbr,True,S18_D27 hbr,201,1,1,trained,True
W,5.0,7.890275107314488e-13,0.007640809475813927,8.289976606079756e-08,-4.3102514722226974,-3.5731883871046984e-07,18,27,hbr,True,S18_D27 hbr,201,1,1,trained,True
constant,5.0,7.890275107314488e-13,0.0031508851775512536,1.8041102212967947e-08,5.315837828628449,9.590357361384743e-08,18,27,hbr,True,S18_D27 hbr,201,1,1,trained,True
A,5.0,7.970582941528176e-14,0.0003827591515181472,2.6876990939162954e-08,8.44191918405173,2.2689338541890429e-07,19,4,hbo,True,S19_D4 hbo,201,1,1,trained,True
AV,5.0,7.970582941528176e-14,0.00022697224929099798,2.7057443822281448e-08,-9.42463002619519,-2.550063974795633e-07,19,4,hbo,True,S19_D4 hbo,201,1,1,trained,True
V,5.0,7.970582941528176e-14,0.024449892867253843,2.6889887834911696e-08,3.1832189297724867,8.559639997554981e-08,19,4,hbo,True,S19_D4 hbo,201,1,1,trained,True
W,5.0,7.970582941528176e-14,0.424699840612269,2.63482802893832e-08,0.8687755736963461,2.2890742324321014e-08,19,4,hbo,False,S19_D4 hbo,201,1,1,trained,True
constant,5.0,7.970582941528176e-14,0.11262540245426646,5.7340574096201225e-09,-1.9220973850626326,-1.102141675282985e-08,19,4,hbo,False,S19_D4 hbo,201,1,1,trained,True
A,5.0,2.5551673661374316e-14,0.003352694570642906,1.5217568952912025e-08,-5.240414346967444,-7.974636666680651e-08,19,4,hbr,True,S19_D4 hbr,201,1,1,trained,True
AV,5.0,2.5551673661374316e-14,0.8738986063846157,1.5319740144539215e-08,-0.16702043604483463,-2.5587096790344974e-09,19,4,hbr,False,S19_D4 hbr,201,1,1,trained,True
V,5.0,2.5551673661374316e-14,6.878341860582221e-06,1.5224871087320568e-08,-19.305592650575576,-2.9392515936933654e-07,19,4,hbr,True,S19_D4 hbr,201,1,1,trained,True
